code,indicator
GDP,Gross Domestic Product
GDPC1,Real Gross Domestic Product
GDPPOT,Real Potential Gross Domestic Product
CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items
CPILFESL,Consumer Price Index for All Urban Consumers: All Items Less Food & Energy
GDPDEF,Gross Domestic Product: Implicit Price Deflator
BASE,St. Louis Adjusted Monetary Base
M1,M1 Money Stock
M2,M2 Money Stock
M1V,Velocity of M1 Money Stock
M2V,Velocity of M2 Money Stock
DFF,Effective Federal Funds Rate
DTB3,3-Month Treasury Bill: Secondary Market Rate
DGS5,5-Year Treasury Constant Maturity Rate
DGS10,10-Year Treasury Constant Maturity Rate
DGS30,30-Year Treasury Constant Maturity Rate
T5YIE,5-year Breakeven Inflation Rate
T10YIE,10-year Breakeven Inflation Rate
T5YIFR,5-Year, 5-Year Forward Inflation Expectation Rate
TEDRATE,TED Spread
DPRIME,Bank Prime Loan Rate
UNRATE,Civilian Unemployment Rate
NROU,Natural Rate of Unemployment (Long-Term)
NROUST,Natural Rate of Unemployment (Short-Term)
CIVPART,Civilian Labor Force Participation Rate
EMRATIO,Civilian Employment-Population Ratio
UNEMPLOY,Unemployed
PAYEMS,All Employees: Total nonfarm
MANEMP,All Employees: Manufacturing
ICSA,Initial Claims
IC4WSA,4-Week Moving Average of Initial Claims
MEHOINUSA672N,Real Median Household Income in the United States
DSPIC96,Real Disposable Personal Income
PCE,Personal Consumption Expenditures
PCEDG,Personal Consumption Expenditures: Durable Goods
PSAVERT,Personal Saving Rate
RRSFS,Real Retail and Food Services Sales
DSPI,Disposable personal income
INDPRO,Industrial Production Index
TCU,Capacity Utilization: Total Industry
HOUST,Housing Starts: Total: New Privately Owned Housing Units Started
GPDI,Gross Private Domestic Investment
CP,Corporate Profits After Tax (without IVA and CCAdj)
STLFSI,St. Louis Fed Financial Stress Index
DCOILWTICO,Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma
USSLIND,Leading Index for the United States
DTWEXM,Trade Weighted U.S. Dollar Index: Major Currencies
DTWEXB,Trade Weighted U.S. Dollar Index: Broad
GFDEBTN,Federal Debt: Total Public Debt
GFDEGDQ188S,Federal Debt: Total Public Debt as Percent of Gross Domestic Product
EXCSRESNW,Excess Reserves of Depository Institutions
TOTCI,Commercial and Industrial Loans, All Commercial Banks
HPIPONM226N,Monthly Purchase Only House Price Index for the United States
USSTHPI,Quaterly All-Transactions House Price Index for the United States
PONHPIM226N,Quarterly Purchase Only House Price Index for the United States